Period,Value
1/1/92,"1,509"
2/1/92,"1,541"
3/1/92,"1,597"
4/1/92,"1,675"
5/1/92,"1,822"
6/1/92,"1,775"
7/1/92,"1,912"
8/1/92,"1,862"
9/1/92,"1,770"
10/1/92,"1,882"
11/1/92,"1,831"
12/1/92,"2,511"
1/1/93,"1,614"
2/1/93,"1,529"
3/1/93,"1,678"
4/1/93,"1,713"
5/1/93,"1,796"
6/1/93,"1,792"
7/1/93,"1,950"
8/1/93,"1,777"
9/1/93,"1,707"
10/1/93,"1,757"
11/1/93,"1,782"
12/1/93,"2,443"
1/1/94,"1,548"
2/1/94,"1,505"
3/1/94,"1,714"
4/1/94,"1,757"
5/1/94,"1,830"
6/1/94,"1,857"
7/1/94,"1,981"
8/1/94,"1,858"
9/1/94,"1,823"
10/1/94,"1,806"
11/1/94,"1,845"
12/1/94,"2,577"
1/1/95,"1,555"
2/1/95,"1,501"
3/1/95,"1,725"
4/1/95,"1,699"
5/1/95,"1,807"
6/1/95,"1,863"
7/1/95,"1,886"
8/1/95,"1,861"
9/1/95,"1,845"
10/1/95,"1,788"
11/1/95,"1,879"
12/1/95,"2,598"
1/1/96,"1,679"
2/1/96,"1,652"
3/1/96,"1,837"
4/1/96,"1,798"
5/1/96,"1,957"
6/1/96,"1,958"
7/1/96,"2,034"
8/1/96,"2,062"
9/1/96,"1,781"
10/1/96,"1,860"
11/1/96,"1,992"
12/1/96,"2,547"
1/1/97,"1,706"
2/1/97,"1,621"
3/1/97,"1,853"
4/1/97,"1,817"
5/1/97,"2,060"
6/1/97,"2,002"
7/1/97,"2,098"
8/1/97,"2,079"
9/1/97,"1,892"
10/1/97,"2,050"
11/1/97,"2,082"
12/1/97,"2,821"
1/1/98,"1,846"
2/1/98,"1,768"
3/1/98,"1,894"
4/1/98,"1,963"
5/1/98,"2,140"
6/1/98,"2,059"
7/1/98,"2,209"
8/1/98,"2,118"
9/1/98,"2,031"
10/1/98,"2,163"
11/1/98,"2,154"
12/1/98,"3,037"
1/1/99,"1,866"
2/1/99,"1,808"
3/1/99,"1,986"
4/1/99,"2,099"
5/1/99,"2,210"
6/1/99,"2,145"
7/1/99,"2,339"
8/1/99,"2,140"
9/1/99,"2,126"
10/1/99,"2,219"
11/1/99,"2,273"
12/1/99,"3,265"
1/1/00,"1,920"
2/1/00,"1,976"
3/1/00,"2,190"
4/1/00,"2,132"
5/1/00,"2,357"
6/1/00,"2,413"
7/1/00,"2,463"
8/1/00,"2,422"
9/1/00,"2,358"
10/1/00,"2,352"
11/1/00,"2,549"
12/1/00,"3,375"
1/1/01,"2,109"
2/1/01,"2,052"
3/1/01,"2,327"
4/1/01,"2,231"
5/1/01,"2,470"
6/1/01,"2,526"
7/1/01,"2,483"
8/1/01,"2,518"
9/1/01,"2,316"
10/1/01,"2,409"
11/1/01,"2,638"
12/1/01,"3,542"
1/1/02,"2,114"
2/1/02,"2,109"
3/1/02,"2,366"
4/1/02,"2,300"
5/1/02,"2,569"
6/1/02,"2,486"
7/1/02,"2,568"
8/1/02,"2,595"
9/1/02,"2,297"
10/1/02,"2,401"
11/1/02,"2,601"
12/1/02,"3,488"
1/1/03,"2,121"
2/1/03,"2,046"
3/1/03,"2,273"
4/1/03,"2,333"
5/1/03,"2,576"
6/1/03,"2,433"
7/1/03,"2,611"
8/1/03,"2,660"
9/1/03,"2,461"
10/1/03,"2,641"
11/1/03,"2,660"
12/1/03,"3,654"
1/1/04,"2,293"
2/1/04,"2,219"
3/1/04,"2,398"
4/1/04,"2,553"
5/1/04,"2,685"
6/1/04,"2,643"
7/1/04,"2,867"
8/1/04,"2,622"
9/1/04,"2,618"
10/1/04,"2,727"
11/1/04,"2,763"
12/1/04,"3,801"
1/1/05,"2,219"
2/1/05,"2,316"
3/1/05,"2,530"
4/1/05,"2,640"
5/1/05,"2,709"
6/1/05,"2,783"
7/1/05,"2,924"
8/1/05,"2,791"
9/1/05,"2,784"
10/1/05,"2,801"
11/1/05,"2,933"
12/1/05,"4,137"
1/1/06,"2,424"
2/1/06,"2,519"
3/1/06,"2,753"
4/1/06,"2,791"
5/1/06,"3,017"
6/1/06,"3,055"
7/1/06,"3,117"
8/1/06,"3,024"
9/1/06,"2,997"
10/1/06,"2,913"
11/1/06,"3,137"
12/1/06,"4,269"
1/1/07,"2,569"
2/1/07,"2,603"
3/1/07,"3,005"
4/1/07,"2,867"
5/1/07,"3,262"
6/1/07,"3,364"
7/1/07,"3,322"
8/1/07,"3,292"
9/1/07,"3,057"
10/1/07,"3,087"
11/1/07,"3,297"
12/1/07,"4,403"
1/1/08,"2,675"
